ID,filename,RG,family
10290,MZCacheView.exe,0,0
10291,MadPassExt.exe,0,0
10292,Magnify.exe,0,0
10293,ManageWirelessNetworks.exe,0,0
10294,MbaeParserTask.exe,0,0
10295,MdRes.exe,0,0
10296,MdSched.exe,0,0
10297,MdmDiagnosticsTool.exe,0,0
10298,Microsoft.AAD.BrokerPlugin.exe,0,0
10299,Microsoft.AsyncTextService.exe,0,0
10300,Microsoft.ECApp.exe,0,0
10301,Microsoft.SharePoint.exe,0,0
10302,Microsoft.Uev.CscUnpinTool.exe,0,0
10303,MicrosoftEdgeBCHost.exe,0,0
10304,MicrosoftEdgeCP.exe,0,0
10305,MicrosoftEdgeDevTools.exe,0,0
10306,MicrosoftEdgeSH.exe,0,0
10307,MicrosoftPdfReader.exe,0,0
10308,MigRegDB.exe,0,0
10309,MobileFileSearch.exe,0,0
10310,MonitorInfoView.exe,0,0
10311,MozillaHistoryView.exe,0,0
10312,MpCmdRun.exe,0,0
10313,MsMpEng.exe,0,0
10314,MsSpellCheckingHost.exe,0,0
10315,MuiUnattend.exe,0,0
10316,MultiDigiMon.exe,0,0
10317,MultiMonitorTool.exe,0,0
10318,MusNotification.exe,0,0
10319,MusNotificationUx.exe,0,0
10320,MusNotifyIcon.exe,0,0
10321,MyEventViewer.exe,0,0
10322,MyLastSearch.exe,0,0
10323,NETSTAT.EXE,0,0
10324,NK2Edit.exe,0,0
10325,NTFSLinksView.exe,0,0
10326,Narrator.exe,0,0
10327,NarratorQuickStart.exe,0,0
10328,NetBScanner.exe,0,0
10329,NetCfgNotifyObjectHost.exe,0,0
10330,NetConnectChoose.exe,0,0
10331,NetEvtFwdr.exe,0,0
10332,NetHost.exe,0,0
10333,NetResView.exe,0,0
10334,NetRouteView.exe,0,0
10335,Netplwiz.exe,0,0
10336,NetworkConnectLog.exe,0,0
10337,NetworkCountersWatch.exe,0,0
10338,NetworkInterfacesView.exe,0,0
10339,NetworkLatencyView.exe,0,0
10340,NetworkOpenedFiles.exe,0,0
10341,NetworkTrafficView.exe,0,0
10342,NetworkUsageView.exe,0,0
10343,NgcIso.exe,0,0
10344,NisSrv.exe,0,0
10345,OOBENetworkCaptivePortal.exe,0,0
10346,OOBENetworkConnectionFlow.exe,0,0
10347,OfficeIns.exe,0,0
10348,OfflineRegistryFinder.exe,0,0
10349,OfflineRegistryView.exe,0,0
10350,OfflineScannerShell.exe,0,0
10351,On-ScreenKeyboardPortable_2.1.paf.exe,0,0
10352,OpenSaveFilesView.exe,0,0
10353,OpenVPN.exe,0,0
10354,OpenWith.exe,0,0
10355,OpenedFilesView.exe,0,0
10356,OperaCacheView.exe,0,0
10357,OperaPassView.exe,0,0
10358,OposHost.exe,0,0
10359,OptionalFeatures.exe,0,0
10360,OutlookAccountsView.exe,0,0
10361,OutlookAddressBookView.exe,0,0
10362,OutlookAttachView.exe,0,0
10363,OutlookStatView.exe,0,0
10364,PATHPING.EXE,0,0
10365,PCAnyPass.exe,0,0
10366,PCI-ZPortable_2.0_English.paf.exe,0,0
10367,PING.EXE,0,0
10368,PackageInspector.exe,0,0
10369,PackagedCWALauncher.exe,0,0
10370,PacketTracer70_64bit_setup.exe,0,0
10371,PasswordOnWakeSettingFlyout.exe,0,0
10372,PaulStretchPortable_2.2-2_Rev_2_English.paf.exe,0,0
10373,PeopleExperienceHost.exe,0,0
10374,PerceptionSimulationDevice.exe,0,0
10375,PerceptionSimulationInput.exe,0,0
10376,PerceptionSimulationService.exe,0,0
10377,PhotoFiltrePortable_7.2.1_Rev_3.paf.exe,0,0
10378,PickerHost.exe,0,0
10379,PinEnrollmentBroker.exe,0,0
10380,PingInfoView.exe,0,0
10381,PinningConfirmationDialog.exe,0,0
10382,PkgMgr.exe,0,0
10383,PktMon.exe,0,0
10384,PnPUnattend.exe,0,0
10385,PngOptimizerPortable_2.5.1.paf.exe,0,0
10386,PortExpertPortable_1.8.3.22_English.paf.exe,0,0
10387,PortableApps.com_Platform_Setup_21.1.paf.exe,0,0
10388,PowderToyPortable_96.2.350_English.paf.exe,0,0
10389,PresentationHost.exe,0,0
10390,PresentationSettings.exe,0,0
10391,PreviousFilesRecovery.exe,0,0
10392,PrintBrm.exe,0,0
10393,PrintBrmEngine.exe,0,0
10394,PrintBrmUi.exe,0,0
10395,PrintDialog.exe,0,0
10396,PrintIsolationHost.exe,0,0
10397,PrivaZerPortable_4.0.42.paf.exe,0,0
10398,PrivacyNotifier.exe,0,0
10399,ProcessActivityView.exe,0,0
10400,ProcessExplorerPortable_16.43_online.paf.exe,0,0
10401,ProcessHackerPortable_2.39_English.paf.exe,0,0
10402,ProcessMonitorPortable_3.89_online.paf.exe,0,0
10403,ProcessTCPSummary.exe,0,0
10404,ProcessThreadsView.exe,0,0
10405,ProduKey.exe,0,0
10406,ProductKeyScanner.exe,0,0
10407,PropertySystemView.exe,0,0
10408,ProximityUxHost.exe,0,0
10409,Q-DirPortable_10.65_Rev_2.paf.exe,0,0
10410,QB_DOS.exe,0,0
10411,QuickSetDNS.exe,0,0
10412,QwikMarkPortable_0.4_English.paf.exe,0,0
10413,RAMMapPortable_1.60_English_online.paf.exe,0,0
10414,RBTrayPortable_4.14_English.paf.exe,0,0
10415,RDSPnf.exe,0,0
10416,RDVGHelper.exe,0,0
10417,RMActivate.exe,0,0
10418,RMActivate_isv.exe,0,0
10419,RMActivate_ssp.exe,0,0
10420,RMActivate_ssp_isv.exe,0,0
10421,ROUTE.EXE,0,0
10422,RTMPDumpHelper.exe,0,0
10423,RapidCRCUnicodePortable_0.3.37_English.paf.exe,0,0
10424,RdpSa.exe,0,0
10425,RdpSaProxy.exe,0,0
10426,RdpSaUacHelper.exe,0,0
10427,ReAgentc.exe,0,0
10428,ReNamerPortable_7.3.paf.exe,0,0
10429,Receiver.exe,0,0
10430,RecentFilesView.exe,0,0
10431,RecoveryDrive.exe,0,0
10432,RegAlyzerPortable_1.6.2.16.paf.exe,0,0
10433,RegDllView.exe,0,0
10434,RegFileExport.exe,0,0
10435,RegFromApp.exe,0,0
10436,RegScanner.exe,0,0
10437,Register-CimProvider.exe,0,0
10438,RegistryChangesView.exe,0,0
10439,RegshotPortable_1.9.0.paf.exe,0,0
10440,RelPost.exe,0,0
10441,RemindersServer.exe,0,0
10442,RemindersShareTargetApp.exe,0,0
10443,RemoteAppLifetimeManager.exe,0,0
10444,RemotePosWorker.exe,0,0
10445,ResetEngine.exe,0,0
10446,ResourceHackerPortable_5.1.8_English.paf.exe,0,0
10447,ResourcesExtract.exe,0,0
10448,RmClient.exe,0,0
10449,Road_Rash.exe,0,0
10450,RobloxPlayerLauncher.exe,0,0
10451,Robocopy.exe,0,0
10452,RouterPassView.exe,0,0
10453,RpcPing.exe,0,0
10454,RufusPortable_3.18.paf.exe,0,0
10455,RunAsDate.exe,0,0
10456,RunFromProcess-x64.exe,0,0
10457,RunFromProcess.exe,0,0
10458,RunLegacyCPLElevated.exe,0,0
10459,RuntimeBroker.exe,0,0
10460,SHAREit-KCWEB.exe,0,0
10461,SIHClient.exe,0,0
10462,SIWPortable_2011.10.29.paf.exe,0,0
10463,SMSvcHost.exe,0,0
10464,SSD-ZPortable_16.09.09b_English.paf.exe,0,0
10465,SUMoPortable_5.14.12.520_English.paf.exe,0,0
10466,SafariHistoryView.exe,0,0
10467,SearchFilterHost.exe,0,0
10468,SearchFilterView.exe,0,0
10469,SearchMyFiles.exe,0,0
10470,SecEdit.exe,0,0
10471,SecHealthUI.exe,0,0
10472,SecureAssessmentBrowser.exe,0,0
10473,SecurityHealthService.exe,0,0
10474,SecurityHealthSystray.exe,0,0
10475,SecurityQuestionsView.exe,0,0
10476,SecuritySoftView.exe,0,0
10477,SenseCncProxy.exe,0,0
10478,SenseSampleUploader.exe,0,0
10479,SensorDataService.exe,0,0
10480,SeqDownload.exe,0,0
10481,ServiceModelReg.exe,0,0
10482,SgrmBroker.exe,0,0
10483,SgrmLpac.exe,0,0
10484,ShadowCopyView.exe,0,0
10485,ShapeCollector.exe,0,0
10486,ShellBagsView.exe,0,0
10487,ShellMenuNew.exe,0,0
10488,ShortcutsSearchAndReplacePortable_1.9.0_English.paf.exe,0,0
10489,SimpleCodeGenerator.exe,0,0
10490,SimpleProgramDebugger.exe,0,0
10491,SimpleWMIView.exe,0,0
10492,SiteShoter.exe,0,0
10493,SkypeContactsView.exe,0,0
10494,SkypeLogView.exe,0,0
10495,SmartDeblurPortable_1.27_English.paf.exe,0,0
10496,SnapTimerPortable_0.1_English.paf.exe,0,0
10497,SndVol.exe,0,0
10498,SnippingTool.exe,0,0
10499,SocketSniff.exe,0,0
10500,SoundVolumeView.exe,0,0
10501,SpaceAgent.exe,0,0
10502,SpatialAudioLicenseSrv.exe,0,0
10503,SpecialFoldersView.exe,0,0
10504,Spectrum.exe,0,0
10505,SpeechModelDownload.exe,0,0
10506,SpeechUXWiz.exe,0,0
10507,SpeedyFoxPortable_2.0.30_Rev_2_English.paf.exe,0,0
10508,SrTasks.exe,0,0
10509,StartupSentinelPortable_1.9.0.28_English.paf.exe,0,0
10510,SteamSetup.exe,0,0
10511,Supercopier.exe,0,0
10512,SyncAppvPublishingServer.exe,0,0
10513,SyncHost.exe,0,0
10514,SynkronPortable_1.6.2_Rev_2.paf.exe,0,0
10515,SysResetErr.exe,0,0
10516,SystemExplorerPortable_7.1.0.paf.exe,0,0
10517,SystemPropertiesAdvanced.exe,0,0
10518,SystemPropertiesComputerName.exe,0,0
10519,SystemPropertiesDataExecutionPrevention.exe,0,0
10520,SystemPropertiesHardware.exe,0,0
10521,SystemPropertiesPerformance.exe,0,0
10522,SystemPropertiesProtection.exe,0,0
10523,SystemPropertiesRemote.exe,0,0
10524,SystemSettings.exe,0,0
10525,SystemSettingsAdminFlows.exe,0,0
10526,SystemSettingsBroker.exe,0,0
10527,SystemSettingsRemoveDevice.exe,0,0
10528,SystemUWPLauncher.exe,0,0
10529,TCPConnectProblemView.exe,0,0
10530,TCPSVCS.EXE,0,0
10531,TCPViewPortable_4.17_English_online.paf.exe,0,0
10532,TRACERT.EXE,0,0
10533,TSTheme.exe,0,0
10534,TSWbPrxy.exe,0,0
10535,TabTip32.exe,0,0
10536,TableTextCompare.exe,0,0
10537,Tango_Logger.exe,0,0
10538,TapiUnattend.exe,0,0
10539,TaskSchedulerView.exe,0,0
10540,TcpLogView.exe,0,0
10541,TeamViewer_Setup.exe,0,0
10542,TexterPortable_0.6_Rev_2_English.paf.exe,0,0
10543,ThumbnailExtractionHost.exe,0,0
10544,TiFileFetcher.exe,0,0
10545,TiWorker.exe,0,0
10546,TieringEngineService.exe,0,0
10547,TileWorldPortable_1.3.2_English.paf.exe,0,0
10548,TimeZonesView.exe,0,0
10549,TinyTaskPortable_1.77_English.paf.exe,0,0
10550,Tipp10Portable_2.1.0_Rev_2.paf.exe,0,0
10551,TokenBrokerCookies.exe,0,0
10552,Toucan_3.1.8.2.paf.exe,0,0
10553,TpmInit.exe,0,0
10554,TreeSizeFreePortable_4.53.paf.exe,0,0
10555,TrustedInstaller.exe,0,0
10556,TurnedOnTimesView.exe,0,0
10557,TwinDistressPortable_1.1.0_English.paf.exe,0,0
10558,TypeFasterPortable_0.4.2_Rev_2_English.paf.exe,0,0
10559,TyperTaskPortable_1.20_Rev_3_English.paf.exe,0,0
10560,TypingMaster_Typing_Tutor_Pro.exe,0,0
10561,UIMgrBroker.exe,0,0
10562,UNPUXHost.exe,0,0
10563,UNPUXLauncher.exe,0,0
10564,UNetbootinPortable_702.paf.exe,0,0
10565,URLStringGrabber.exe,0,0
10566,USBDeview.exe,0,0
10567,USBDriveLog.exe,0,0
10568,USBLogView.exe,0,0
10569,USBSudokuPortable_2.0_English.paf.exe,0,0
10570,UUID-GUIDGeneratorPortable_1.1_English.paf.exe,0,0
10571,UevTemplateConfigItemGenerator.exe,0,0
10572,Ultimate_SAMP_KeyBinder.exe,0,0
10573,UltraDefragPortable_7.1.4.paf.exe,0,0
10574,UltraISO_cn.exe,0,0
10575,UninstallView.exe,0,0
10576,UpdateNotificationMgr.exe,0,0
10577,UpgradeResultsUI.exe,0,0
10578,UserAccountBroker.exe,0,0
10579,UserAccountControlSettings.exe,0,0
10580,UserAssistView.exe,0,0
10581,UserOOBEBroker.exe,0,0
10582,UserProfilesView.exe,0,0
10583,UsoClient.exe,0,0
10584,Utilman.exe,0,0
10585,VMMapPortable_3.31_English_online.paf.exe,0,0
10586,VNCPassView.exe,0,0
10587,VaultCmd.exe,0,0
10588,VaultPasswordView.exe,0,0
10589,VeraCryptPortable_1.24_Update_7.paf.exe,0,0
10590,VideoCacheView.exe,0,0
10591,VirtuaWinPortable_4.5_Rev_2_English.paf.exe,0,0
10592,VirtualMagnifyingGlassPortable_3.6.paf.exe,0,0
10593,VirtualVolumesViewPortable_1.4.paf.exe,0,0
10594,WFS.exe,0,0
10595,WMIADAP.exe,0,0
10596,WMPDMC.exe,0,0
10597,WNetWatcher.exe,0,0
10598,WPDShextAutoplay.exe,0,0
10599,WSCollect.exe,0,0
10600,WSManHTTPConfig.exe,0,0
10601,WSReset.exe,0,0
10602,WUDFCompanionHost.exe,0,0
10603,WUDFHost.exe,0,0
10604,WakeMeOnLan.exe,0,0
10605,WallpaperHost.exe,0,0
10606,WebBrowserBookmarksView.exe,0,0
10607,WebCache.exe,0,0
10608,WebCacheImageInfo.exe,0,0
10609,WebCamImageSave.exe,0,0
10610,WebCookiesSniffer.exe,0,0
10611,WebSiteSniffer.exe,0,0
10612,WebVideoCap.exe,0,0
10613,WerFault.exe,0,0
10614,WerFaultSecure.exe,0,0
10615,WhatChangedPortable_1.07_Rev_2_English.paf.exe,0,0
10616,WhatInStartup.exe,0,0
10617,WhatIsHang.exe,0,0
10618,WhoDatPortable_0.9.1_English.paf.exe,0,0
10619,WhoIsConnectedSniffer.exe,0,0
10620,WhoisCL.exe,0,0
10621,WifiHistoryView.exe,0,0
10622,Win32WebViewHost.exe,0,0
10623,WinBioDataModelOOBE.exe,0,0
10624,WinBoardPortable_4.8.0.paf.exe,0,0
10625,WinBox.exe,0,0
10626,WinCrashReport.exe,0,0
10627,WinDefLogView.exe,0,0
10628,WinDefThreatsView.exe,0,0
10629,WinDirStatPortable_1.1.2.80_Rev_3.paf.exe,0,0
10630,WinFontsView.exe,0,0
10631,WinLogOnView.exe,0,0
10632,WinMTRPortable_0.92_Rev_2_English.paf.exe,0,0
10633,WinMailPassRec.exe,0,0
10634,WinMgmt.exe,0,0
10635,WinObjPortable_3.13_English_online.paf.exe,0,0
10636,WinPenguinsPortable_0.76_English.paf.exe,0,0
10637,WinPrefetchView.exe,0,0
10638,WinUpdatesView.exe,0,0
10639,WinWGetPortable_0.20.2020-1.21.2_English.paf.exe,0,0
10640,Windows.Media.BackgroundPlayback.exe,0,0
10641,Windows.WARP.JITService.exe,0,0
10642,WindowsActionDialog.exe,0,0
10643,WindowsErrorLookupToolPortable_3.0.7_English.paf.exe,0,0
10644,WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe,0,0
10645,WindowsUpdateElevatedInstaller.exe,0,0
10646,WinsockServicesView.exe,0,0
10647,WirelessConnectionInfo.exe,0,0
10648,WirelessNetView.exe,0,0
10649,WiseDataRecoveryPortable_5.2.1.paf.exe,0,0
10650,WiseDiskCleanerPortable_10.8.4.paf.exe,0,0
10651,WiseProgramUninstallerPortable_2.6.1.paf.exe,0,0
10652,WiseRegistryCleanerPortable_10.7.2.paf.exe,0,0
10653,WizFilePortable_3.07.paf.exe,0,0
10654,WizTreePortable_4.08.paf.exe,0,0
