feature,preselection_importance
translatemessage,0.0007491909517267259
destroywindow,0.0007456060784848679
regenumkeya,0.0007438063564495058
NumberOfSections,0.0007410963347944115
_wcsnicmp,0.0007371622359160731
Subsystem,0.0007362221781057705
regclosekey,0.000735555338324822
api-ms-win-core-synch-l1-1-0.dll,0.0007328859290396697
api-ms-win-core-synch-l1-2-0.dll,0.0007233186251475365
api-ms-win-core-registry-l1-1-0.dll,0.0007028050125184025
peekmessagea,0.0006895360758787805
wnetcloseenum,0.00065902790228588
isdebuggerpresent,0.000658433115903617
deletefilea,0.0006458055452357042
getparent,0.0006401528062839408
createmenu,0.000635798331081655
api-ms-win-core-interlocked-l1-1-0.dll,0.0006304623392540273
createmutexa,0.0006289053406233336
getcurrentprocessid,0.0006124908427008201
callwindowproca,0.0006067857142533249
postmessagea,0.0006046137803829047
removedirectorya,0.000593824577371273
systemparametersinfoa,0.0005935921535612199
checkdlgbutton,0.0005917851343431983
rmregisterresources,0.0005904150826066681
dialogboxparama,0.0005893844942277969
setenvironmentvariablea,0.0005876933266569226
createwindowexa,0.0005847763524004011
heaprealloc,0.0005780093830759014
